№,ID,Адрес,Метро,Часы работы,Широта (WGS84),Долгота (WGS84),Широта,Долгота
227,3211484,"ул. Вольная, 28/4к3","Соколиная гора, Семёновская, Измайлово МЦК",пн-вс 9:00 - 22:05,55.774805,37.7380867,55.774805,37.7380867
228,1779096,"ул. Мосфильмовская, 17/25","Ломоносовский проспект, Минская, Раменки",пн-вс 9:00 - 22:05,55.7152111,37.5157784,55.7152111,37.5157784
232,3608733,"ул. Мневники, 6А","Народное Ополчение, Хорошёво, Полежаевская",пн-вс 9:00 - 22:05,55.7457916,37.4512807,55.7457916,37.4512807
237,2735470,"ул. Новопесчаная, 18","Зорге МЦК, Панфиловская, Сокол",пн-вс 9:00 - 22:05,55.7948999,37.510958,55.7948999,37.510958
238,1522839,"ул. Марфинская Большая, 1, к. 1","Фонвизинская, Телецентр, Улица Милашенкова",пн-вс 9:00 - 22:05,55.8262355,37.5924915,55.8262355,37.5924915
239,230219,"ул. Молодежная, 6","Университет, Воробьевы горы, Академическая",пн-вс 9:00 - 22:05,55.6955903,37.5467795,55.6955903,37.5467795
241,4294846,"ул. Зверинецкая, 34","Измайлово МЦК, Партизанская, Семёновская",пн-вс 9:00 - 22:05,55.7842537,37.7353083,55.7842537,37.7353083
242,3274658,"ул. Краснобогатырская, 75к1",Преображенская площадь,пн-вс 9:00 - 22:05,55.8079265,37.7065979,55.8079265,37.7065979
245,2247094,"ул. Просторная, 2","Преображенская площадь, Бульвар Рокоссовского",пн-вс 9:00 - 22:05,55.8045655,37.7191571,55.8045655,37.7191571
251,7396,"ул. Олеко Дундича, 19/15","Филевский парк, Багратионовская, Пионерская",пн-вс 9:00 - 22:05,55.7396472,37.4897197,55.7396472,37.4897197
252,1376413,"ул. Дмитрия Ульянова, 32","Академическая, Профсоюзная, Крымская",пн-вс 9:00 - 22:05,55.6845919,37.5813736,55.6845919,37.5813736
253,3736598,"ул. Просторная, 7","Преображенская площадь, Бульвар Рокоссовского",пн-вс 9:00 - 22:05,55.8059059,37.7164226,55.8059059,37.7164226
254,3349403,"ул. Щербаковская, 58","Измайлово МЦК, Партизанская",пн-вс 9:00 - 22:05,55.7823265,37.7398108,55.7823265,37.7398108
255,4574021,"ул. Фортунатовская, 33/44","Измайлово МЦК, Партизанская, Семёновская",пн-вс 9:00 - 22:05,55.7841039,37.7390237,55.7841039,37.7390237
257,4366838,"ул. Малая Черкизовская, 66","Преображенская площадь, Бульвар Рокоссовского",пн-вс 9:00 - 22:05,55.8073811,37.7140106,55.8073811,37.7140106
